Bezeichnung;Anzahl
Pioneer DJM-250-K;1
Mackie Onyx 1640i;1
HK Audio L.U.K.A.S Alpha: Bass;2
HK Audio L.U.K.A.S Alpha: Top;4
Aufhängungen HK-Tops Stahl;2
K&M Distanzstangen;2
HK-Lautsprecherstativ;4
Marlis MPA;1
Behringer UltraCurve DSP 8000;1
Palmer Audionomix Direct-Box;1
McLelland Actitve Direct-Box;1
Schill DERI/EC Saaltrommel;1
SR Pocket 700 MX;1
SR - Stativ ;2
ETL Intertek Nebelmaschine F50;1
RCS-VHF Wireless Receiver;1
Behringer Ultrafex II EX3100;1
Alesis 3630 Compressor;1
dbx 166KL Compressor;1
JBL EON15 G2/230;1
GBL - Active Speaker Stativ;2